SMILES,Vina Score,Molecular Weight,verdict,failures
Cc1nn(C)c(C)c1S(=O)(=O)N1CCC[C@H](C(=O)N2CCc3c(nc4cc(-c5ccccc5)[nH]n4c3=O)C2)C1,-10.72,549.657,PASS,
O=C(C1CN(c2nc3c(F)cccc3s2)C1)N1CCN(c2ncnc3c2nnn3Cc2ccccc2)CC1,-10.72,529.6050000000001,PASS,
C[C@H](NC(=O)c1ccc(N2CCN(C(=O)C3CC3)CC2)cc1)C(=O)N1CCN(c2ccccc2Cl)CC1,-10.71,524.0650000000002,PASS,
O=C(Nc1nccnc1C(=O)NC1CCN(C(=O)c2c(F)cccc2F)CC1)c1ccc(F)cc1F,-10.71,501.44000000000017,PASS,
CCOC(=O)N1CCN(c2cc(N3CCN4CCc5c(F)cccc5[C@H]4C3)nc(-c3cccnc3)n2)CC1,-10.7,517.6090000000002,PASS,
Cc1ccc(-n2nnnc2CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2c(Cl)cccc2Cl)cc1C,-10.7,509.4190000000002,PASS,
CC(=O)NS(=O)(=O)c1ccc(Nc2cc(N3CC(=O)N4CCc5c(F)cccc5[C@H]4C3)nc(C)n2)cc1,-10.7,524.5780000000003,PASS,
O=C(C[C@@H]1CSc2nc3c(c(=O)n21)CCCC3)Nc1cc(N2CCN(c3ccccc3)CC2)ncn1,-10.7,503.63200000000023,PASS,
Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCN(c5ccccc5Cl)CC4)cc3)cc2n(C)c1=O,-10.7,507.9780000000002,PASS,
Cc1ccccc1N1C[C@H](C(=O)N2CCN(c3ncnc4c3nnn4-c3cccc(F)c3)CC2)CC1=O,-10.69,500.5380000000003,PASS,
CC(=O)N1CCCc2cc(S(=O)(=O)N3CCC(COc4ncc(Br)cn4)CC3)ccc21,-10.69,509.4260000000002,PASS,
COc1cccc(-n2nnc3c(N4CCN(C(=O)C[C@@H]5CSc6nc7c(c(=O)n65)CCCC7)CC4)ncnc32)c1,-10.69,559.6560000000004,PASS,
O=C([C@@H]1CCCN1S(=O)(=O)c1c(Cl)cccc1Cl)N1CCN(Cc2nnnn2-c2ccc(F)cc2)CC1,-10.69,568.4620000000001,PASS,
O=C(c1ccccc1S(=O)(=O)C(F)F)N1CCN(c2ncnc3c2nnn3-c2ccc(F)cc2)CC1,-10.69,517.4930000000002,PASS,
O=C(NCc1nc(N2CCCC2)nc(N2CCOCC2)n1)[C@@H]1CCCN1S(=O)(=O)c1c(Cl)cccc1Cl,-10.69,570.5030000000003,PASS,
Cc1cc(C)cc(N2C[C@@H](C(=O)N3CCN(C(=O)[C@H]4CC(=O)N(c5ccccc5F)C4)CC3)CC2=O)c1,-10.68,506.5780000000004,PASS,
COc1cccc(-n2nnc3c(N4CCN(C(=O)[C@H]5CCCN5S(=O)(=O)c5ccc(Cl)c(C(F)(F)F)c5)CC4)ncnc32)c1,-10.68,651.071,PASS,
O=C(C1CN(c2nc3c(F)cccc3s2)C1)N1CCN(c2ncnc3c2nnn3-c2cccc(F)c2)CC1,-10.67,533.5680000000001,PASS,
O=C(c1cccc(Cl)c1)N1CCN(c2nc(CN3CCN(c4ccccc4F)CC3)cc(=O)[nH]2)CC1,-10.67,511.0010000000003,PASS,
C[C@@H]1COc2c(N3CCN(C(=O)[C@H]4COc5ccccc5O4)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-10.67,509.4900000000003,PASS,
CC1(C)CC(N2C[C@H](C(=O)N3CCN(C(=O)[C@@H]4CC(=O)N(c5ccccc5F)C4)CC3)CC2=O)CC(C)(C)N1,-10.66,541.6680000000003,PASS,
Cc1ccc(S(=O)(=O)N2CCN(C(=O)C3CCN(S(=O)(=O)Cc4c(F)cccc4Cl)CC3)CC2)cc1,-10.66,558.0970000000001,PASS,
Cc1cccc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CC(=O)N3CCc4c(F)cccc4[C@H]3C2)c1,-10.65,501.55800000000033,PASS,
CC1CCN(S(=O)(=O)c2ccc(C(=O)N3CC(n4nc(-c5cccc(F)c5)ccc4=O)C3)cc2)CC1,-10.65,510.59100000000024,PASS,
Cn1c(C(=O)N2CCN(c3ncccn3)CC2)cc2c(N3CCN(c4ccccc4F)CC3)ncnc21,-10.64,501.57000000000033,PASS,
C=CC(=O)N1CCN(c2nc(OC[C@H]3CCCN3C)nc3c2CCN(c2cc(O)cc4ccccc24)C3)CC1,-10.63,528.6570000000002,PASS,
Cn1cc(-c2cncc(N3CCN(C(=O)[C@@H]4CCCN4S(=O)(=O)c4c(Cl)cccc4Cl)CC3)n2)cn1,-10.63,550.4720000000001,PASS,
CC(=O)N1CCN(c2cc(N3CC(=O)N4CCc5c(F)cccc5[C@@H]4C3)nc(Cc3ccccc3)n2)CC1,-10.63,514.6050000000001,PASS,
Cc1ccc(-c2ccc(=O)n([C@H](C)C(=O)N3CCN(c4ncnc5c4nnn5-c4cccc(F)c4)CC3)n2)cc1,-10.63,539.5750000000002,PASS,
C[C@@H](C(=O)N1CCN(c2ccc(N3CCCC[C@H]3C)nn2)CC1)n1nc(-c2ccc(F)cc2)ccc1=O,-10.62,505.59800000000024,PASS,
Cc1nc2ncccc2c(=O)n1C1CN(C(=O)c2ccc(CNS(=O)(=O)c3cccc(F)c3)cc2)C1,-10.6,507.5470000000002,PASS,
O=C([C@@H]1CCCN1S(=O)(=O)c1c(Cl)cccc1Cl)N1CCN(c2ccnc(N3CCCC3)n2)CC1,-10.6,539.4890000000003,PASS,
O=C(C1CCN(S(=O)(=O)c2cccnc2)CC1)n1nc(-c2ccccc2)c2cc(F)c(F)cc2c1=O,-10.59,510.5220000000002,PASS,
CC(=O)N1CCCc2cc(S(=O)(=O)N3CCC[C@@H](C(=O)N4CCN(c5ccccc5F)CC4)C3)ccc21,-10.58,528.6500000000003,PASS,
CC(=O)N1CCN(c2cc(N3CCN4CCc5c(F)cccc5[C@H]4C3)nc(Cc3ccccc3)n2)CC1,-10.58,500.62200000000024,PASS,
Cc1nc(N2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3ccccc3F)CC2)cc(-n2cnc(C)c2C)n1,-10.57,527.6260000000002,PASS,
Cc1nc(N2CCC(NC(=O)OC(C)(C)C)CC2)cc(N2CC(=O)N3CCc4c(F)cccc4[C@@H]3C2)n1,-10.57,510.61400000000026,PASS,
Cc1cc(N2CCCC2)nc(N2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3ccccc3F)CC2)n1,-10.56,502.6160000000003,PASS,
Cc1nc(N2CCOCC2)cc(N2CCN(C(=O)[C@H]3CCCN(c4ccc(-c5ccccc5C)nn4)C3)CC2)n1,-10.56,542.6880000000001,PASS,
O=C1CN(C(=O)[C@@H]2CCCN2S(=O)(=O)c2c(Cl)cccc2Cl)CCN1Cc1cc(F)ccc1F,-10.56,532.3960000000002,PASS,
CCn1nnc2c(N3CCN(C(=O)[C@H]4CCCN4S(=O)(=O)c4c(Cl)cccc4Cl)CC3)ncnc21,-10.54,539.4490000000002,PASS,
Cc1ccc(OCC(=O)N2CCN(Cc3cc(=O)n4nc(-c5cccc(F)c5)sc4n3)CC2)cc1C,-10.54,507.59100000000024,PASS,
Cc1cc(C)n(-c2ccc(=O)n(CC3CN(C(=O)[C@@H]4CCCN4S(=O)(=O)c4c(Cl)cccc4Cl)C3)n2)n1,-10.54,565.4830000000001,PASS,
CN(C)S(=O)(=O)c1ccc(C(=O)Nc2cc(C(=O)N3CCN(c4ccccc4F)CC3)ccn2)cc1,-10.52,511.5790000000003,PASS,
Cc1nc2ncccc2c(=O)n1C1CN(C(=O)c2ccc(CNS(=O)(=O)c3ccccc3F)cc2)C1,-10.52,507.5470000000002,PASS,
COc1ccc(C(=O)N2CCN(c3nc(CN4CCN(c5ccccc5F)CC4)cc(=O)[nH]3)CC2)cc1,-10.52,506.5820000000003,PASS,
C[C@H]1COCCN1c1nc(N2CCOC[C@@H]2C)c2ccc(-c3cccc(C(=O)N4CCNCC4)c3)nc2n1,-10.51,517.6340000000002,PASS,
CC(C)(C)c1nc(N2CCN(C(=O)CCN3CCOCC3)CC2)cc(N2CCN(c3ccccc3Cl)CC2)n1,-10.51,556.1550000000001,PASS,
Cc1cccc(N2C[C@@H](C(=O)N3CCN(C(=O)[C@@H]4CC(=O)N(c5ccc(F)cc5)C4)CC3)CC2=O)c1C,-10.51,506.5780000000004,PASS,
O=C(Nc1nc(N2CCN(c3ccccc3Cl)CC2)nn1[C@H]1CCS(=O)(=O)C1)c1ccccc1F,-10.51,519.0020000000004,PASS,
Cc1ccc(C)c(N2C[C@@H](C(=O)N3CCN(C(=O)[C@H]4CC(=O)N(c5ccccc5F)C4)CC3)CC2=O)c1,-10.5,506.5780000000004,PASS,
Cc1noc(/C=C/c2ccccc2F)c1S(=O)(=O)N1CCC(C(=O)N2CCN(C(=O)c3ccco3)CC2)CC1,-10.5,556.6160000000001,PASS,
COc1ccc(N2C[C@H](C(=O)N3CCN(C(=O)[C@@H]4CC(=O)N(c5ccccc5F)C4)CC3)CC2=O)c(C)c1,-10.49,522.5770000000005,PASS,
Cc1ccc(Cl)cc1N1C[C@@H](C(=O)N2CCN(C(=O)[C@@H]3CC(=O)N(c4ccccc4F)C3)CC2)CC1=O,-10.48,526.9960000000003,PASS,
